UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,PrivPub,UGDStudents,CostBeforeAid,6yrGradRate,Retention,MDEarnings8yr,InstructionWagesPerStudent,AcadmicSupportWagesPerStudent,ServicesAuxWagesPerStudent,PCTFacWhite,PCTFacNotWhite,PCTFacTwoMoreRace/Ethnic,PCTFacRace/EthnicUnk,PCTFacNRA,PCTFacMale,PCTFacFemale,InstrPerStu,PCTFTStaff,PCTFTTenured,PCTFTTenureTrk,PCTFTNotTenure,PCTProf,PCTAssoProf,PCTAssisProf,PCTInstructors,PCTLecturers,PCTNoRank
160621,202500,2025,Southern University and A & M College,Baton Rouge,LA,1,5350,23592,0.2822,0.6008,35297,3244.785601,1468.523493,1340.452508,0.117913832,0.882086168,0,0,0,0.43537415,0.56462585,0.098691589,0.698412698,0.178030303,0.15530303,0.098484848,0.288065844,0.209876543,0.399176955,0.012345679,0.008230453,0.349794239
160630,202600,2026,Southern University at New Orleans,New Orleans,LA,1,1439,16762,0.1884,0.4163,30032,2375.448322,431.9659894,1128.052562,0.220472441,0.700787402,0,0.070866142,0.007874016,0.57480315,0.42519685,0.088255733,0.614173228,0.31496063,0.299212598,0,0.118110236,0.133858268,0.362204724,0,0,0
160658,203100,2031,University of Louisiana at Lafayette,Lafayette,LA,1,12972,22948,0.5117,0.7943,40864,4228.627964,695.8848024,1466.965471,0.754716981,0.1875,0.003537736,0.017688679,0.036556604,0.517688679,0.482311321,0.070921986,0.761792453,0.292391304,0.133695652,0.280434783,0.170187793,0.139671362,0.17370892,0.185446009,0.001173709,0.088028169
160755,202900,2029,Tulane University of Louisiana,New Orleans,LA,2,8537,75628,0.8577,0.9198,50267,16149.35018,8267.107058,2648.380843,0.648079958,0.206733298,0.095213046,0.008942662,0.041031036,0.541820095,0.458179905,0.254539065,0.757496055,0.221352968,0.083294984,0.391624482,0.1617866,0.151861042,0.248635236,0.041191067,0.111166253,0
160904,203200,2032,Xavier University of Louisiana,New Orleans,LA,2,2502,36391,0.4974,0.7704,41690,6612.475318,1855.921667,2234.98995,0.387900356,0.462633452,0.017793594,0.017793594,0.113879004,0.516014235,0.483985765,0.112310152,0.839857651,0.43772242,0.160142349,0.241992883,0.177935943,0.263345196,0.355871886,0.024911032,0.017793594,0
175342,239600,2396,Alcorn State University,Alcorn State,MS,1,2648,24285,0.4544,0.7383,30770,3199.787926,1091.450774,2018.737461,0.154867257,0.783185841,0,0,0.061946903,0.477876106,0.522123894,0.086858006,0.654867257,0.195652174,0.126086957,0.339130435,0.108695652,0.117391304,0.230434783,0.186956522,0,0
175421,239700,2397,Belhaven University,Jackson,MS,2,2003,35975,0.4667,0.6782,37780,1720.561312,199.3762753,1252.469294,0.694779116,0.293172691,0.004016064,0.008032129,0,0.514056225,0.485943775,0.248627059,0.15060241,0.06626506,0.058232932,0.026104418,0.048192771,0.036144578,0.048192771,0.018072289,0,0
175430,239800,2398,Blue Mountain College,Blue Mountain,MS,2,631,25475,0.5135,0.6991,33111,3140.492647,306.5567227,920.2542017,0.964285714,0.035714286,0,0,0,0.535714286,0.464285714,0.090332805,0.678571429,0,0,0.684210526,0.122807018,0.228070175,0.192982456,0.122807018,0,0
175616,240300,2403,Delta State University,Cleveland,MS,1,1933,20678,0.3901,0.6714,33956,4752.989663,882.9843281,1368.857286,0.762931034,0.189655172,0,0,0.047413793,0.409482759,0.590517241,0.120020693,0.629310345,0.228448276,0.211206897,0.189655172,0.060344828,0.185344828,0.224137931,0.159482759,0,0
175856,241000,2410,Jackson State University,Jackson,MS,1,4650,24570,0.4368,0.737,32567,4522.778067,770.4596157,1580.632857,0.14571949,0.797814208,0.003642987,0,0.052823315,0.438979964,0.561020036,0.118064516,0.595628415,0.278688525,0.098360656,0.218579235,0.153005464,0.153005464,0.156648452,0.123861566,0.009107468,0
